PLAYER_ID,PLAYER_NAME,USG_PCT
1642484,RayJ Dennis,0.203
1641712,Rayan Rupert,0.122
1642263,Reed Sheppard,0.195
1642434,Riley Minix,0.222
1642265,Rob Dillingham,0.223
1629057,Robert Williams III,0.119
1631199,Ron Harper Jr.,0.189
1641842,Ronald Holland II,0.186
1626220,Royce O'Neale,0.142
203497,Rudy Gobert,0.122
1629060,Rui Hachimura,0.143
201566,Russell Westbrook,0.245
1642346,Ryan Dunn,0.142
1641750,Ryan Kalkbrenner,0.109
1642948,Ryan Nembhard,0.177
1631157,Ryan Rollins,0.226
1630180,Saddiq Bey,0.191
1630573,Sam Hauser,0.141
1630241,Sam Merrill,0.174
1630572,Sandro Mamukelashvili,0.174
1630583,Santi Aldama,0.191
1630567,Scottie Barnes,0.231
203552,Seth Curry,0.11
1631101,Shaedon Sharpe,0.298
1628983,Shai Gilgeous-Alexander,0.321
1630536,Sharife Cooper,0.105
1631321,Sidy Cissoko,0.128
1631323,Simone Fontecchio,0.189
1642883,Sion James,0.106
1642461,Spencer Jones,0.107
201939,Stephen Curry,0.312
1642264,Stephon Castle,0.254
203500,Steven Adams,0.118
1629004,Svi Mykhailiuk,0.131
204456,T.J. McConnell,0.238
1643007,Taelon Peter,0.15
1631106,Tari Eason,0.196
1627752,Taurean Prince,0.108
1641707,Taylor Hendricks,0.129
1629611,Terance Mann,0.131
1630545,Terrence Shannon Jr.,0.152
203648,Thanasis Antetokounmpo,0.192
1628418,Thomas Bryant,0.168
1642275,Tidjane Salaün,0.145
203501,Tim Hardaway Jr.,0.172
202699,Tobias Harris,0.182
1642449,Tolu Smith,0.193
1628396,Tony Bradley,0.131
1641787,Tosan Evbuomwan,0.048
1641739,Toumani Camara,0.162
1629027,Trae Young,0.268
1631218,Trayce Jackson-Davis,0.133
1642848,Tre Johnson,0.206
1630200,Tre Jones,0.168
1630544,Tre Mann,0.234
1630570,Trendon Watford,0.157
1642280,Trentyn Flowers,0.25
1641725,Trey Alexander,0.104
1641998,Trey Jemison III,0.065
1630530,Trey Murphy III,0.217
1641774,Tristan Vukcevic,0.253
1641783,Tristan da Silva,0.169
1631102,TyTy Washington Jr.,0.167
1629639,Tyler Herro,0.247
1642278,Tyler Kolek,0.172
1631213,Tyrese Martin,0.183
1630178,Tyrese Maxey,0.285
1642878,Tyrese Proctor,0.208
1630623,Tyson Etienne,0.186
1626145,Tyus Jones,0.095
1642845,VJ Edgecombe,0.189
1641705,Victor Wembanyama,0.316
1631246,Vince Williams Jr.,0.192
1642884,Vladislav Goldin,0.0
1630249,Vít Krejčí,0.142
1631117,Walker Kessler,0.167
1642383,Walter Clayton Jr.,0.17
1628976,Wendell Carter Jr.,0.155
1631111,Wendell Moore Jr.,0.073
1642954,Will Richard,0.135
1642860,Will Riley,0.172
1630214,Xavier Tillman,0.129
1642905,Yang Hansen,0.185
1642949,Yanic Konan Niederhäuser,0.159
1642274,Yves Missi,0.121
1642258,Zaccharie Risacher,0.178
1628380,Zach Collins,0.177
1641744,Zach Edey,0.2
203897,Zach LaVine,0.232
1630192,Zeke Nnaji,0.135
1630533,Ziaire Williams,0.166
1629627,Zion Williamson,0.275
